0,2
nº contrato,nº contrato jurídico objeto do contrato
pb 4600249923,pb 0020.0038036.07.2
pb 4600284779,pb 0050.0043613.08.4
pb 4600284781,pb 0050.0046113.08.2
pb 4600284786,pb 1650.0046117.08.3
pb 4600284797,pb 6000.0045569.08.2
pb 4600284803,pb 0020.0046611.08.2
pb 4600284807,pb 6000.0045830.08.3
pb 4600284812,pb 6000.0046832.08.2
pb 4600284814,pb 1100.0046647.08.2
pb 4600284815,pb 0100.0045856.08.2
pb 4600284816,pb 1100.0046199.08.3
pb 4600284821,pb 6000.0046532.08.2
pb 4600284822,pb 6000.0046335.08.3
pb 4600285153,pb 0050.0045709.08.2
pb 4600285254,pb 0050.0045163.08.2
pb 4600285286,pb 6000.0046248.08.2
pb 4600285293,pb 6000.0046272.08.2
pb 4600285298,pb 0800.0046083.08.3
pb 4600285315,pb 6000.0046400.08.3
pb 4600285319,pb 0050.0043525.08.3
pb 4600285324,pb 0050.0045875.08.2
pb 4600285329,pb 6000.0046475.08.2
pb 4600285333,pb 1100.0046180.08.2
pb 4600285336,pb 0040.0046359.08.2
pb 4600285339,pb 6000.0045545.08.3
pb 4600285350,pb 2700.0046516.08.2
pb 4600285351,pb 2700.0046516.08.2
pb 4600285356,pb 2700.0046349.08.2
pb 4600285362,pb 0020.0046604.08.2
pb 4600285363,pb 6000.0045500.08.2
pb 4600285365,pb 0020.0046573.08.2
pb 4600285366,pb 6000.0046609.08.2
pb 4600285367,pb 0050.0044046.08.2
pb 4600285390,pb 0050.0043539.08.2
pb 4600285414,pb 6000.0046368.08.2
pb 4600285416,pb 0020.0046293.08.3
pb 4600285419,pb 6000.0045544.08.3
pb 4600285420,pb 6000.0045349.08.2
pb 4600285453,pb 6000.0046264.08.2
pb 4600285463,pb 6000.0046195.08.3
pb 4600285491,pb 6000.0045379.08.2
pb 4600285492,pb 1300.0046227.08.3
pb 4600285513,pb 6000.0046322.08.2
pb 4600285515,pb 6000.0046262.08.2
pb 4600285525,pb 0050.0043778.08.2
pb 4600285551,pb 0040.0045777.08.3
pb 4600285555,pb 6000.0046489.08.2
pb 4600285556,pb 0800.0045985.08.3
pb 4600285560,pb 0050.0042219.08.4
pb 4600285561,pb 1650.0046496.08.3
pb 4600285562,pb 6000.0046260.08.3
pb 4600285565,pb 6000.0046142.08.2
pb 4600285584,pb 1350.0046158.08.3
pb 4600285588,pb 6000.0046189.08.3
pb 4600285589,pb 0050.0045820.08.2
pb 4600285590,pb 0050.0043752.08.4
pb 4600285593,pb 0050.0043476.08.2
pb 4600285598,pb 6000.0046294.08.3
pb 4600285606,pb 6000.0045429.08.3
pb 4600285608,pb 2800.0046259.08.2
pb 4600285614,pb 6000.0046275.08.2
pb 4600285615,pb 6000.0046425.08.2
pb 4600285616,pb 6000.0046424.08.2
pb 4600285618,pb 1100.0046091.08.2
pb 4600285622,pb 6000.0046469.08.2
pb 4600285672,pb 1200.0041292.08.3
pb 4600285677,pb 0050.0046494.08.9
pb 4600285678,pb 6000.0046111.08.2
pb 4600285680,pb 6000.0046097.08.3
pb 4600285687,pb 0801.0046561.08.2
pb 4600285689,pb 6000.0046212.08.2
pb 4600285699,pb 0020.0046602.08.2
pb 4600285701,pb 1300.0046365.08.3
pb 4600285702,pb 2200.0045942.08.3
pb 4600285703,pb 6000.0046334.08.2
pb 4600285708,pb 0050.0045130.08.2
pb 4600285714,pb 6000.0046258.08.2
pb 4600285715,pb 0801.0046683.08.2
pb 4600285716,pb 0801.0046691.08.2
pb 4600285718,pb 0801.0046692.08.2
pb 4600285721,pb 0050.0043614.08.4
pb 4600285722,pb 0050.0042674.08.4
pb 4600285723,pb 6000.0045917.08.2
pb 4600285724,pb 2070.0046540.08.2
pb 4600285726,pb 0050.0042112.08.4
pb 4600285727,pb 0050.0046107.08.2
pb 4600285736,pb 6000.0046242.08.2
pb 4600285743,pb 6000.0046834.08.2
pb 4600285745,pb 6000.0046843.08.2
pb 4600285746,pb 1400.0046428.08.2
pb 4600285747,pb 0050.0043475.08.2
pb 4600285748,pb 0800.0045990.08.2
pb 4600285751,pb 0800.0046746.08.3
pb 4600285752,pb 0800.0046371.08.2
pb 4600285753,pb 0200.0046757.08.2
pb 4600285754,pb 6000.0046858.08.2
pb 4600285755,pb 6000.0046857.08.2
pb 4600285757,pb 0020.0046229.08.3
pb 4600285759,pb 0050.0046193.08.3
pb 4600285761,pb 6000.0046621.08.2
pb 4600285762,pb 6000.0045840.08.3
pb 4600285763,pb 0100.0046519.08.2
pb 4600285764,pb 6000.0046916.08.2
pb 4600285765,pb 6000.0046114.08.3
pb 4600285767,pb 0050.0024974.06.4
pb 4600285768,pb 0200.0041998.08.2
pb 4600285784,pb 1200.0046411.08.3
pb 4600285787,pb 0801.0046502.08.2
pb 4600285788,pb 6000.0046235.08.2
pb 4600285789,pb 6000.0046534.08.3
pb 4600285806,pb 2700.0046516.08.2
pb 4600285807,pb 0050.0044224.08.2
pb 4600285831,pb 1100.0046283.08.2
pb 4600285832,pb 0020.0046614.08.2
pb 4600285833,pb 0020.0046620.08.2
pb 4600285840,pb 6000.0044168.08.2
pb 4600285841,pb 6000.0044312.08.2
pb 4600285842,pb 1500.0045831.08.2
pb 4600285844,pb 0050.0042679.08.4
pb 4600285845,pb 0050.0042784.08.4
pb 4600285846,pb 0020.0046660.08.2
pb 4600285848,pb 6000.0046233.08.2
pb 4600285858,pb 1650.0046391.08.3
pb 4600285868,pb 1250.0046209.08.2
pb 4600285871,pb 0200.0046287.08.2
pb 4600285873,pb 2700.0045961.08.4
pb 4600285886,pb 0050.0043105.08.4
pb 4600285887,pb 0050.0042931.08.4
pb 4600285889,pb 1200.0046420.08.3
pb 4600285891,pb 0050.0023463.06.4
pb 4600285892,pb 6000.0046670.08.9
pb 4600285902,pb 0020.0046633.08.2
pb 4600285903,pb 6000.0046277.08.2
pb 4600285907,pb 0802.0044976.08.3
pb 4600285908,pb 0802.0044980.08.3
pb 4600285909,pb 6000.0046716.08.2
pb 4600285910,pb 0802.0046256.08.3
pb 4600285913,pb 6000.0046457.08.3
pb 4600285914,pb 1200.0046132.08.3
pb 4600285916,pb 6000.0046612.08.2
pb 4600285918,pb 2500.0046217.08.2
pb 4600285920,pb 0100.0045735.08.3
pb 4600285924,pb 0050.0044304.08.4
pb 4600285927,pb 6000.0046764.08.2
pb 4600285934,pb 0802.0046556.08.3
pb 4600285941,pb 6000.0045930.08.3
pb 4600285944,pb 0800.0046520.08.2
pb 4600285945,pb 0800.0045794.08.3
pb 4600285950,pb 2300.0046828.08.2
pb 4600285953,pb 0300.0046600.08.2
pb 4600285954,pb 0801.0046181.08.3
pb 4600285957,pb 6000.0046392.08.2
pb 4600285958,pb 2050.0046585.08.2
pb 4600285959,pb 0802.0046500.08.2
pb 4600285962,pb 0800.0046785.08.3
pb 4600285966,pb 6000.0046886.08.2
pb 4600285967,pb 6000.0046887.08.2
pb 4600285970,pb 6000.0046632.08.2
pb 4600285971,pb 1250.0046636.08.3
pb 4600285973,pb 0050.0044869.08.4
pb 4600285981,pb 0050.0045307.08.4
pb 4600285982,pb 1250.0046690.08.3
pb 4600285985,pb 2070.0046370.08.2
pb 4600285986,pb 0020.0046207.08.3
pb 4600286006,pb 1350.0046167.08.2
pb 4600286009,pb 0100.0046330.08.2
pb 4600286023,pb 0800.0046675.08.2
pb 4600286025,pb 6000.0046201.08.2
pb 4600286026,pb 6000.0046778.08.2
pb 4600286033,pb 2010.0046239.08.2
pb 4600286034,pb 6000.0045532.08.3
pb 4600286036,pb 6000.0046237.08.2
pb 4600286039,pb 6000.0046541.08.2
pb 4600286040,pb 2050.0045797.08.2
pb 4600286041,pb 6000.0045911.08.2
pb 4600286050,pb 0040.0046535.08.2
pb 4600286051,pb 0200.0045773.08.3
pb 4600286052,pb 2050.0046178.08.2
pb 4600286053,pb 2050.0046178.08.2
pb 4600286054,pb 6000.0046846.08.2
pb 4600286056,pb 0800.0046779.08.2
pb 4600286057,pb 2500.0046515.08.2
pb 4600286058,pb 1100.0046509.08.3
pb 4600286059,pb 0050.0045454.08.4
pb 4600286062,pb 0200.0046641.08.2
pb 4600286063,pb 0801.0046539.08.2
pb 4600286069,pb 2600.0040130.08.4
pb 4600286072,pb 6000.0045389.08.2
pb 4600286084,pb 0050.0045839.08.2
pb 4600286093,pb 1350.0046203.08.3
pb 4600286099,pb 6000.0046140.08.3
pb 4600286101,pb 0100.0046175.08.2
pb 4600286108,pb 6000.0046813.08.2
pb 4600286110,pb 0800.0046059.08.2
pb 4600286112,pb 0800.0046106.08.3
pb 4600286113,pb 0200.0046287.08.2
pb 4600286119,pb 6000.0046559.08.3
pb 4600286121,pb 2700.0046068.08.2
pb 4600286122,pb 6000.0046320.08.2
pb 4600286127,pb 6000.0043994.08.2
pb 4600286128,pb 6000.0046851.08.2
pb 4600286139,pb 2050.0046009.08.2
pb 4600286145,pb 6000.0046848.08.4
pb 4600286147,pb 1400.0046169.08.2
pb 4600286149,pb 0100.0046462.08.2
pb 4600286151,pb 0300.0046382.08.2
pb 4600286154,pb 0050.0045424.08.2
pb 4600286157,pb 0802.0046553.08.2
pb 4600286158,pb 2500.0046445.08.2
pb 4600286160,pb 2500.0046447.08.2
pb 4600286165,pb 6000.0026842.06.2
pb 4600286171,pb 0800.0045315.08.2
pb 4600286172,pb 0050.0045422.08.2
pb 4600286176,pb 6000.0045793.08.3
pb 4600286177,pb 0802.0046486.08.2
pb 4600286180,pb 0050.0046642.08.3
pb 4600286183,pb 0050.0046498.08.9
pb 4600286186,pb 2700.0044708.08.2
pb 4600286189,pb 0050.0046315.08.2
pb 4600286195,pb 2200.0046678.08.2
pb 4600286196,pb 6000.0046994.08.2
pb 4600286197,pb 1350.0046353.08.2
pb 4600286200,pb 2050.0046839.08.2
pb 4600286205,pb 6000.0046310.08.2
pb 4600286209,pb 1150.0045881.08.2
pb 4600286211,pb 1200.0045399.08.2
pb 4600286213,pb 6000.0045866.08.2
pb 4600286216,pb 2600.0046448.08.2
pb 4600286228,pb 6000.0047057.08.3
pb 4600286229,pb 6000.0046826.08.3
pb 4600286230,pb 2050.0045446.08.2
pb 4600286233,pb 6000.0046394.08.3
pb 4600286234,pb 1150.0046399.08.2
pb 4600286238,pb 6000.0046626.08.3
pb 4600286245,pb 2200.0037829.07.3
pb 4600286246,pb 0800.0044970.08.2
pb 4600286249,pb 6000.0046185.08.2
pb 4600286253,pb 6000.0046806.08.3
pb 4600286254,pb 0801.0046773.08.2
pb 4600286256,pb 0800.0046939.08.3
pb 4600286260,pb 2600.0046257.08.2
pb 4600286262,pb 0800.0047136.08.3
